quote,tags
والآن هؤلاء الثلاثة باقون: الإيمان والرجاء والمحبة. ولكن أعظم تلك الأمور هو الحب.,"['الإيمان', 'الله', 'الأمل']"
ليس صاحب العمل هو من يدفع الأجور بل المُنْتَج هو من يفعل ذلك.,"['طموح،', 'نجاح']"
الانتصار على الضعيف ... هزيمة .,['خواطر']
اكتشف النظام في الاشياء التي لا تجد فيها نظاماً في النظرة الاولى .,['مشاكل،حلول']
جوهر الرومانسية هو عدم اليقين.,['رومانسي']
الفشل هو الفرصة الوحيدة التي تتيح لك البدء من جديد على نحو أكثر ذكاء.,"['تميز،', 'شجاعة']"
بعد الحدث .. الكل يصبحون حكماء .,['أمثال']
ربما تكون كلمة حسنًا هي دائمًا,"['مياه', 'أغسطس', 'نعمة']"
يمكنك أن تحب شخصًا كثيرًا ... ولكن لا يمكنك أبدًا أن تحب الناس بقدر ما يمكنك أن تفوتهم.,"['تفكك', 'ضائع']"
الجزع أتعب من الصبر .,"['كفاح،', 'الصبر']"
أن تحب الحياة ، أن تحبها حتى عندما لا تكون لديك معدة لها وكل ما تحمله يتفتت مثل الورق المحترق في يديك ، حلقك مليء بالطمي. كالماء أكثر ملاءمة للخياشيم من الرئتين ؛ عندما يثقل الحزن أنك تحب جسدك فقط أكثر منه ، وبدانة من الحزن ، تعتقد ، كيف يمكن للجسم أن يتحمل هذا؟ ابتسامة ساحرة ، لا عيون بنفسجية ، وتقول ، نعم ، سآخذك ، وسأحبك مرة أخرى .,"['قبول', 'أمل', 'حياة']"
ليس لدي مواهب خاصة. أنا فقط فضولي بشغف .,"['حياة', 'ملهمة']"
عقد الماضي ليست إلا أعباء ثقيلة يشق عليك حملها فوق ظهرك ، فسارع الى اخراجها من حقيبة سفرك و التخلص منها .,['النفس']
وفي تلك اللحظة ، أقسم أننا كنا لانهائي.,['نهاية']
نحن البشر، نعاني مشكلتين كبيرتين : الأولى، أن نعرف متى نبدأ، والثانية، أن نعرف متى نتوقف.,['مشاكل،حلول']
أنت اليوم أنت ، هذا أكثر صدقًا من الحقيقة. لا يوجد أحد على قيد الحياة من أنت.,"['كوميديا', 'حياة', 'نفسك']"
احرص على أن يكون الوجه الذي تراه في المرآة كل صباح مشرقاً ، فقد لا تراه بقية اليوم ، و لكن الآخرين سوف يرونه .,"['نصائح،', 'اخلاق']"
اذا ارتدى الحمار قناع الأسد ليرتفع الى مجلس الأسود و يحضر مجلسهم ، بقي حمارا ، يكشف عنه صوت نهيقه عندما يحاول الزئير .,['حياة']
وقائع التاريخ الكبرى عائمات جليد ، طرفها ظاهر فوق الماء ، و كتلتها الرئيسية تحت سطحه ، و من يريد استكشافها عليه أن يغوص .,['تاريخ']
لا أدري بأي منطق يستنكرون استعباد الفرد ويستسيغون استعباد الشعوب.,['حرية']
سأحبك دائما. عندما يكون هذا الشعر الأحمر أبيض ، سأظل أحبك. عندما يتم استبدال نعومة الشباب بنعومة العمر ، سأظل أرغب في لمس بشرتك. عندما يمتلئ وجهك بخطوط كل ابتسامة ابتسمتها على الإطلاق ، من كل مفاجأة رأيتها تومض في عينيك ، عندما تترك كل دمعة بكيت بصماتها على وجهك ، سأعتز بك أكثر ، لأنني كنت هناك لأرى كل شيء. سوف أشارك حياتك معك ، ميريديث ، وسأحبك حتى يخرج النفس الأخير من جسدك أو جسدك .,"['ملهمة', 'علاقات']"
أصدق حزن .. ابتسامة في عين دامعة .,['خواطر']
لن يحكم أحد فى ملك الله إلا بما أراد الله.,['حقيقة']
عندما لا نتوقع ذلك ، تضعنا الحياة تحديًا لاختبار شجاعتنا واستعدادنا للتغيير ؛ في مثل هذه اللحظة ، لا فائدة من التظاهر بعدم حدوث شيء أو القول إننا لسنا مستعدين بعد. التحدي لن ينتظر. الحياة لا تنظر الى الوراء. أسبوع هو أكثر من الوقت الكافي لنا لنقرر ما إذا كنا سنقبل أو لا نقبل مصيرنا .,"['التحديات', 'التغيير', 'الشجاعة']"
الثقوب السوداء هي المكان الذي يقسم فيه الله صفرًا.,['مزاح']
إنها تقتلني أحيانًا ، كيف يموت الناس.,['موت']
حيث اعتدت أن تكون ، هناك حفرة في العالم ، أجد نفسي أتجول فيها باستمرار في النهار ، وأقع فيها في الليل. أنا مشتاق لك جدا.,"['الوحدة', 'الخسارة', 'التوق']"
اذا لم تُسمع أصوات الأطفال في الصفوف الخلفية في المساجد فعلينا أن نقلق على الأجيال القادمة.,['أمثال']
مهما علت الشجرة فان أوراقها تتساقط .,['أمثال']
عندما تجد طريقك ، يجب ألا تخاف. أنت بحاجة إلى الشجاعة الكافية لارتكاب الأخطاء. خيبة الأمل والهزيمة واليأس هي الأدوات التي يستخدمها الله ليبين لنا الطريق .,"['خيبة', 'أمل', 'حياة']"
القلب عنده من الأفكار ما لا يدركه الفكر .,['تأملات']
من بين كل كلمات الفئران والرجال ، الأسوأ هو ، ربما كان الأمر كذلك.,"['الإدراك', 'المتأخر', 'الندم']"
النجاح هو نتاج العادات اليومية، وليس التحولات التي تحدث مرة واحدة في العمر.,"['تنمية', 'الذات،', 'تحفيز']"
عندما يكون لدي منزلي الخاص، سأكون بائسة إذا لم أمتلك مكتبة مميّزة.,"['علم،', 'معرفة']"
كل شخص لديه موهبة. ما هو نادر هو الشجاعة لاتباعها إلى الأماكن المظلمة حيث تؤدي .,"['شجاعة', 'موهبة']"
إن حكمت ، فاحكم بالعدل ، و لا تدخل الهوى فيما يثقل حكما ، او يدع مجرما لا يرجى اصلاحه يفلت من عقاب .,['قيادة']
كلمة واحدة تحررنا من كل ثقل الحياة وآلامها: تلك الكلمة هي الحب.,"['ألم', 'الحب']"
الأسباب الصغيرة لها غالبا نتائج كبيرة ، فقدان المسمار اضاع حدوة الحصان ، و فقدان الحدوة اضاع الحصان ، و فقدان الحصان اضاع الفارس .,['حياة']
ومن المفترض أن أجلس بينما كنت تواعد الأولاد وتقع في حب شخص آخر ، وتتزوج ...؟. صوته مشدود. وفي غضون ذلك ، سأموت قليلاً كل يوم ، أشاهد.,"['أدوات', 'مميتة', 'رومانسية']"
كن شجاعًا للوقوف إلى جانب ما تؤمن به حتى لو كنت تقف بمفردك.,"['الإيمان', 'المعتقدات', 'الإيمان']"
الناس يواكبون الحدث ، لكن القائد يسابق الحدث .,['قيادة']
اقتحموا الموت ، فرب جرئ كـتب له السلامة ، و رب جبان لقى حتفه فى مكمـنه .,"['تميز،', 'شجاعة']"
منذ ثلاثين عامًا أدركت أن سعادتي تكمن في القراءة والكتابة؛ فاسترحت وأرحت.,"['علم،', 'معرفة']"
من خلال خبرتي في الحياة: يوجد حافز واحد وهو الرغبة، لا يوجد أي عائق يمكنه أن يوقفها أو يعطلها.,"['طموح،', 'نجاح']"
الأكل والقراءة ملذتان تجتمعان بشكل مثير للإعجاب.,"['قرا', 'الأكل']"
قال مايا: الصبر ، الجندب. الأشياء الجيدة تأتي لمن ينتظرون. اعتقدت دائمًا أن الأشياء الجيدة تأتي إلى أولئك الذين يقومون بهذه الموجة ، قال سايمون. لا عجب أنني كنت مرتبكة للغاية كل حياتي.,"['مايا', 'الصبر', 'سيمون']"
ألعاب الجوع سعيدة! وقد تكون الاحتمالات في صالحك من أي وقت مضى .,"['ألعاب', 'الجوع']"
الإداري الناجح هو الذي يستطيع تنظيم الأمور على نحو لا يعود العمل بحاجة إلى وجـوده .,"['تنمية', 'الذات،', 'تحفيز']"
كانت أمي سيدة قوية التأثير ، و كانت تعتقد اعتقاداً راسخاً ان اطفالها قادرون على كل شئ .,"['أبا', 'أبنا']"
البيت دون كتب كالجسد بلا روح.,"['علم،', 'معرفة']"
الحقيقة نادرًا ما تكون صافية وليست بسيطة أبدًا.,['حقيقة']
ينبوع الحكمة تتدفق مياهه فوق ربوع الكتب .,['أمثال']
أريد أن أتقدم في العمر بدون عمليات تجميل. أريد أن أمتلك الشجاعة لأكون مخلصًا للوجه الذي صنعته .,"['مارلين', 'مونرو']"
كثير من الناس ، وأنا من بينهم ، يشعرون بتحسن لمجرد رؤية كتاب.,"['كتب', 'قرا']"
كان الشعراء صامتين بشكل غامض بشأن موضوع الجبن.,"['جبن', 'شعر']"
تجنب اعطاء الوعود التي يتعذر الايفاء بها .,"['حوار،', 'تعامل']"
المحارب الناجح هو شخص طبيعي ولكن لدية تركيز حاد جدا.,"['طموح،', 'نجاح']"
الرجل بصراحته في القول وإخلاصه في العمل.,"['نصائح،', 'اخلاق']"
إذا فتحنا المدارس اليوم، لا نحتاج إلى مساعدة الأجانب غدا.,"['علم،', 'معرفة']"
ليس صحيحاً ما يشاع بأن الاطفال ينسون بسهولة .. فكثير من الناس يعيشون حياتهم و هم رهائن لافكار انطبعت في اعماقهم منذ سنوات طفولتهم المبكرة .,"['تنمية', 'الذات،', 'تحفيز']"
لو تحدث الناس فيما يعرفونه فقط لساد الهدوء اماكن كثيرة .,['خواطر']
هل يمكن أن يكون المنزل شخصًا وليس مكانًا؟,"['منزل', 'عاشق', 'شخص']"
نحلم أن نمنح أنفسنا الأمل. للتوقف عن الحلم - حسنًا ، هذا أشبه بالقول إنه لا يمكنك تغيير مصيرك أبدًا .,"['حلم', 'مصير', 'أمل']"
اننا ندنو من العظمة كي نكون عظماء في تواضعنا .,"['نصائح،', 'اخلاق']"
ما يجعل الحياة تستحق أن نحياها هو الإيمان بشيء والتحمس لشيء.,['حياة']
الخطوة الاولى لتنظيم وقتنا هي ان نحدد الاشياء و العـادات التي تتسبب في اهدار هذا الوقت ، و ذلك للتخلص منها تباعاً ... على سبيل المثال : مشاهدة التلفزيون لاوقات طويلة ، ساعات النوم الزائدة ، تأجيل الاعمال دون مبرر ... الخ .,"['تنمية', 'الذات،', 'تحفيز']"
لا يفكر في التفكير في الأحلام ونسيان العيش.,"['أحلام', 'حياة']"
هؤلاء الواقفون على قمة الجبل .. لم يهبطوا من السماء هناك .,['تأملات']
الشعر هو ما يحدث عندما لا يستطيع أي شيء آخر ذلك.,[]
مصيبة أن تدرس بلا تفكير ، و مصيبة اكبر أن تفكر بلا دراسة .,"['علم،', 'معرفة']"
ليست الفضيلة في أن نجتنب الرذيلة، بل في ألا نشتهيها.,"['نصائح،', 'اخلاق']"
كما قيل: لا يمكن إخفاء الحب والسعال ، حتى السعال البسيط ، وحتى الحب الصغير.,[]
الجنون يفعل الشيء نفسه مرارًا وتكرارًا ، لكن توقع نتائج مختلفة.,"['الفكاهة', 'الجنون', 'الحياة']"
إن انشغال الناس بالجزئيات ، و الأمة تجتث من جذورها من أعظم الخيانة لها و للمنهج الرباني الذي كلفنا بحمله .,"['دروس،', 'اسلام']"
لقد بذلنا جهدا في تمكين الناس من الوصول إلى سن متقدمة أكثر مما بذلناه في مساعدتهم على الاستمتاع به.,['حقيقة']
السلام يـــبدأ بإبتسامة.,['سعادة']
بمعرفتك ان لدى احدهم سراً ما ، تكون قد عرفت نصف السر .,['أخرى']
يكون طعم النصر أحلى لو أنك قد ذقت الهزيمة .,['حرب']
ليست ابنتي ، أيتها العاهرة!,"['غضب', 'غضب', 'مولي']"
اعلم أن الإنسان الطموح لا يشيخ .,"['طموح،', 'نجاح']"
وحده الإنسان الذى اخترق أعماقه الخاصة ، له القدرة على الاكتـشاف ، و العثور على عمق الآخر .,['النفس']
لا يمكننا أن ننعم بالسلام مع العالم الخارجي حتى نحقق نوعا من السلام الداخلي مع أنفسنا .,"['تفكير،', 'تغيير']"
انا اردت نهاية رائعه. لقد تعلمت الآن ، بالطريقة الصعبة ، أن بعض القصائد لا تتناغم ، وبعض القصص ليس لها بداية واضحة ووسط ونهاية. الحياة تدور حول عدم المعرفة ، والاضطرار إلى التغيير ، وأخذ اللحظة والاستفادة منها على أفضل وجه ، دون معرفة ما سيحدث بعد ذلك. غموض لذيذ .,"['الغموض', 'الحياة', 'القصص']"
قيمة الإنسان هي ما يضيفه الى الحياة بين ميلاده و موته .,['حياة']
الإعلان كذب مقنن.,['تأملات']
إذا كان من الممكن أن تحتوي الكتب على المزيد ، أو تعطي أكثر ، أو تزيد ، أو تظهر أكثر ، فإنها ستظل بحاجة إلى القراء الذين يجلبون لهم الصوت والرائحة والضوء وكل ما لا يمكن أن يكون في الكتب. الكتاب يحتاجك .,['كتب']
إذا حصلت على بعض المال أشتري كتبا؛ وإذا بقي معي القليل منه أشتري طعاما و ملابس.,"['علم،', 'معرفة']"
خلق الله الحرب حتى يتعلم الأمريكيون الجغرافيا.,"['الأمريكيون', 'الجغرافيا', 'الحرب']"
لماذا يقول الناس تنمو بعض الكرات ؟ الكرات ضعيفة و حساسة. إذا كنت تريد أن تكون قاسيًا ، فقم بتنمية المهبل. يمكن أن تستغرق هذه الأشياء قصفًا شديدًا .,"['النسوية', 'الفكاهة', 'المنسوبة']"
التعايش لا يعني نـسيان التميز والخصوصية ، و لا أن تتنازل عن رأيك لأنه جزء من شخصيتك .. التعايش هو أن يتخلى الإنسان عن التعصب و الإحتقان ، فالدعوة و المجادلة بالتي هي أحسن و الحوار من معاني التعايش .,"['حوار،', 'تعامل']"
اذا لم يكن الشئ مكسوراً فلا تصلحه .,['أمثال']
أنا لا أؤمن بنوع السحر الموجود في كتبي. لكنني أعتقد أن شيئًا سحريًا للغاية يمكن أن يحدث عندما تقرأ كتابًا جيدًا .,"['كتب', 'سحر', 'كتب']"
من مدحك بما لم يعلم عنك جهراً؛ ذمك بما لم يعلم منك سرا.,['حكمة']
ظننت أنني سأستلقي على الأرض وأتلوى من الألم لفترة من الوقت ، قال متذمرا ، إنه يريحني. هل هذا؟ أوه - أنت تسخر. ربما تكون هذه علامة جيدة .,"['مضحك', 'فكاهة']"
يمكن العثور على السعادة ، حتى في أحلك الأوقات ، إذا تذكر المرء فقط تشغيل الضوء.,"['دمبلدور،', 'فلسفة']"
العرب إذا تغلّبوا على أوطان أسرع إليها الخراب.,['أخرى']
حقيقة أننا نعيش في قاع بئر جاذبية عميقة ، على سطح كوكب مغطى بالغاز يدور حول كرة نارية نووية على بعد 90 مليون ميل ونعتقد أن هذا أمر طبيعي ، من الواضح أن هناك بعض المؤشرات على مدى انحراف منظورنا .,"['فكاهة', 'منظور', 'علم']"
عندما أذهب للمؤتمر الصحفي قبل المباراة ، أعرف أن المباراة قد بدأت .,['رياضة']
الغلظة و القسوة تفسد و لا تصلح .. تهدم و لا تبني .. و الذي لا يرى الناس إلا بعين الاحتقار و الازدراء و لا يذكرهم إلا بلسان الطعن فيهم و العيب لهم و الذم ، ينبغي ان يعلم جيداً أنه أعجز شئ عن حفظ نفسه .,['خواطر']
القضيب العادي من الحديد قيمته حوالي ٥ دولارات ، فاذا صنعت منه حـدوة فرس اصبحت قيمته حوالي ١١ دولاراً .. و اذا صنعت منه مفكات اصبحت قيمته حوالي ١٥ دولاراً .. و اذا صنعت منه ابراً اصبحت قيمته ٣٥٠٠ دولاراً … نفس الشئ يصدق على نوعية اخرى من الخامات : أنت . إن قيمتك تتحدد بالشئ الذي تقرر ان تصنعه بنفسك .,"['تميز،', 'شجاعة']"
سعادة معظم الناس لا تهدمها الكوارث الكبرى او الاخطاء القاتلة ، بل التكرار المدمر للاشياء و التفاصيل الصغيرة .,['سعادة']
أن تنجح بلا مخاطرة هو ان تنجح بلا مجد .,"['طموح،', 'نجاح']"
كل ما تحتاجه هو الحب. لكن القليل من الشوكولاتة بين الحين والآخر لا يضر .,"['شوكولاتة', 'طعام', 'فكاهة']"
إذا كنت وحيدًا عندما تكون وحيدًا ، فأنت في صحبة سيئة.,"['الوحدة', 'العزلة']"
تعلمت الحكمة من الرجل الضرير لانه لا يضع قدمه على الارض الا بعد أن يختبر الطريق بعصاه .,['حكمة']
احترس من الفكر ، لأنه يعرف الكثير أنه لا يعرف شيئًا ويتركك معلقًا رأسًا على عقب ، ويتحدث عن المعرفة كما لو أن قلبك يخرج من فمك.,"['الفكر', 'الحب', 'الشعر']"
الرجل الذي يزرع جبلا يبدأ بنقل الاحجار الصغيرة .,"['طموح،', 'نجاح']"
أنت حلمي ، وكنت دائمًا كذلك.,[]
الصديق الجيد سوف يطعنك دائمًا في المقدمة.,"['خيانة', 'الأصدقا']"
جميل أن تصغي لشخص يحادثك حتى ولو كان يروي لك أشياء لا تهمك .,"['حوار،', 'تعامل']"
لقد وجدت المفارقة ، أنه إذا كنت تحب حتى تتألم ، فلن يكون هناك المزيد من الأذى ، فقط المزيد من الحب.,"['أخطأ', 'نسبه', 'إلى']"
لا يمكنك فهم أي شخص حقًا حتى تفكر في الأشياء من وجهة نظره ... حتى تتسلق داخل جلده وتتجول فيه.,"['حياة', 'أفضل', 'تعاطف']"
العلامات التي يتركها البشر غالبًا ما تكون ندوبًا.,"['البشر', 'الألم', 'الندوب']"
الحياة تدور حول قبول التحديات على طول الطريق ، واختيار الاستمرار في المضي قدمًا ، والاستمتاع بالرحلة.,"['تحدي', 'استمتع', 'بالرحلة']"
ليس ثمة سفينة كالكتاب ، تنقلنا بعيداً بعيداً .,"['علم،', 'معرفة']"
نحن نقوم بشنق صغار اللصوص ونعين كبارهم في المناصب الرسمية .,['تأملات']
من يعتقدون ان الكذب الابيض لا ضرر منه يصابون قريباً بعمى الالوان .,"['نصائح،', 'اخلاق']"
إذا لم نقض على الحرب فإن الحرب ستقضي علينا.,['حرب']
عندما تحدد هدفك ، حاول ان تراه بكل تفاصيله ، و تصوره و كأنه قد تحقق و بأنك جـزء منه .,['أخرى']
طريق الجاهل ... مستقيم في نظره .,['تأملات']
هناك جرائم أسوأ من حرق الكتب، أحدها ألا تقرأها.,"['نصائح،', 'اخلاق']"
فلتكن شجاعا و تخاطر ، فلا يمكن استبدال الخبرة بأي شيء آخر .,"['تميز،', 'شجاعة']"
العزلة على ما يرام ولكنك تحتاج إلى شخص ما ليخبرنا أن العزلة على ما يرام.,"['الوحدة', 'المجتمع', 'العزلة']"
لا أريد مستقبلا يفصلني عن الماضي .,['تاريخ']
الكرم الحقيقي هو أن تفعل فعلا محموداً لشخص لن يعرف أبدا بما فعلته .,"['تفكير،', 'تغيير']"
ستفقد شخصًا لا يمكنك العيش بدونه ، وسينكسر قلبك بشدة ، والأخبار السيئة هي أنك لن تتغلب تمامًا على فقدان حبيبك. لكن هذه أيضًا أخبار جيدة. إنهم يعيشون إلى الأبد في قلبك المكسور الذي لا يختم احتياطيًا. وأنت تأتي. إنه مثل وجود ساق مكسورة لا تلتئم بشكل مثالي أبدًا - والتي لا تزال مؤلمة عندما يصبح الطقس باردًا ، لكنك تتعلم الرقص مع العرج .,"['حزن', 'خسارة', 'انتعاش']"
من غير تحديد الأهداف بوضوح يصعب الحديث عن قرارات جيدة .,"['طموح،', 'نجاح']"
قد تثبت لك الأيام أن ما ظننته قلاع من صخور إنما هي حصون من ورق ... فريق منا تصرعه الضربة الأولى ، و آخرون تخلق منهم الضربة الأولى أبطالا .,"['تنمية', 'الذات،', 'تحفيز']"
التردد طويلاً في اتخاذ القرارات يعني المماطلة في الامور التي تحتاج الى الحسم بأسرع وقت ، و هذا يشكل عبئاً على وقتك الثمين .,"['تنمية', 'الذات،', 'تحفيز']"
خصلتان من العبد اذا صلحتا صلح ما سواهما: الركون الى الظلمة، والطغيان في النعمة.,"['نصائح،', 'اخلاق']"
السعادة هي عندما يكون ما تعتقده وما تقوله وما تفعله في تناغم.,['سعادة']
رحلة الاستكشاف الحقيقية لا تستلزم الذهاب لأراض جديدة ، بل تستلزم الرؤية بعيون جديدة .,"['تجديد،', 'إبداع']"
لا يمكن أن تدوم علاقة تضع نفسك فيها في المقام الأول .,"['حوار،', 'تعامل']"
لا ينبغي للانسان أن يضع أمله إلا في نفسه .,['النفس']
يتقرر الفشل ـ الى حد كبير ـ بالاشياء التي نسمح بحدوثها ، بينما يتقرر النجاح بالاشياء التي نحدثها .,"['طموح،', 'نجاح']"
ثق بقلبك إذا اشتعلت النيران في البحار ، عش بالحب رغم أن النجوم تسير إلى الوراء.,"['القرارات', 'الحب', 'النجوم']"
أنا لست طائرًا ؛ ولا توجد شبكة تؤرقني: أنا إنسان حر ولديه إرادة مستقلة .,"['الطابع', 'التمكين', 'العيوب']"
انحدرت هوليود كثيراً .. أفلامها بالامس كانت تتناول قضايا الإنسان ـ و لو من وجهة النظر الامريكية ... أما اليـوم فلا هم لهـا سوى تقديم الافكـار و العروض الشيطانية .,['حرية']
كل ما يمكنك فعله أو الحلم يمكنك أن تبدأه. للجرأة العبقرية والقوة والسحر!,"['ملهمة', 'أخطأ', 'إسناد']"
لو شغلك ما يعنيك تركت ما لا يعنيك.,"['نصائح،', 'اخلاق']"
نسمي عصور الظلام كذلك ، لا لأن النور لا يسطع فيها و لكن لأن الناس يرفضون رؤيته .,['حياة']
الفيزياء ليست صعبة ، الامر فقط أنها غريـبة .,['عام']
الفاكهة المحرمة حلوة (كل ممنوع مرغوب) .,['تأملات']
أكثر الأيام إهدارًا هو يوم بلا ضحك.,"['الله', 'الفرح', 'الحياة']"
التجارب لا تقرأ في الكتب و لكن الكتب تساعد على الانتفاع بالتجارب .,"['علم،', 'معرفة']"
نحن لا نشعر بالقوانين الا عندما تتضارب مع مصالحنا .,['تأملات']
لن تكون سعيدًا أبدًا إذا واصلت البحث عن ماهية السعادة. لن تعيش أبدًا إذا كنت تبحث عن معنى للحياة .,"['السعادة', 'معنى', 'الحياة']"
كلما ترفَّه الجسد تعقدت الروح.,"['دروس،', 'اسلام']"
من الأفضل عدم تقديم عذر من عذر سيء.,"['اعتراف', 'أعذار', 'صدق']"
قد تنسى الذي ضحكت معه ، و لـكن لن تنسى الذي بكيت معه .,['حياة']
المال خادم جيد .. لكنه سيد فاسد .,['حياة']
الله لا دين له.,"['الله', 'الدين']"
إذا كنت قائماً بحمل أمانة فأنـت مؤتمن على أمانتك ، مديراً كنت أو وزيراً أو رئيسا ، وتذكر أن من ترعاهم أحراراً ، فلا تستعبدهم بنفوذك و سلطتك فتذل في الدنيا قبل الآخرة .,"['تنمية', 'الذات،', 'تحفيز']"
لكنني أعلم ، بطريقة ما ، أنه فقط عندما يكون الجو مظلمًا بدرجة كافية يمكنك رؤية النجوم.,"['أمل', 'ملهمة']"
الدبلوماسي .. هو رجل يستطيع أن يقول لك (اذهب الى الجحيم) بطريقة تجعلك تتوق شوقاً للذهاب الى هناك .,['تأملات']
لكي تكون وحدة الشعب حقيقية ، يجب عليها أن تصمد امام اقصى انواع الضغط دون أن تـنكسر .,['قيادة']
علينا ان نعلم ابنائنا كيف يحلـمون و أعينهم مفتوحة .,"['تفاؤل', 'أمـل']"
أنا أمي تمامًا ، لكني أقرأ كثيرًا.,['هولدن']
من يحتمل عيوبي أعتبره سيدي و لو كان خادمي .,['حياة']
الكوكب بخير. الناس يمارسون الجنس .,"['مضحك', 'إنسانية', 'فكاهة']"
ويل لأمة ، كل قبيلة فيها أمة .,['عام']
ما طالت فكرة امرىء قط إلا فهم، وما فهم إلا علم، وما علم إلا عمل.,"['تفكير،', 'تغيير']"
لثقة بالنفس هو ان تعتقد في نفسك اعتقاداً راسخاً بامكانية تحقيق الهدف باذن الله رغم جميع الظروف و التحديات .,"['تنمية', 'الذات،', 'تحفيز']"
التأمل العميق و محادثة النفس باسئـلة تبحث عن اجابات محددة و واضحة .. تلك هي الوسيلة الاجدى لتغيير اي سلوك سلبي الى ايجابي ، او لاكتساب سلوك ايجابي جديد .,['إدارة']
على القائد ان يقف صامداً كالصخرة التي تتحطم عليها الامواج .,['قيادة']
الشعبية هي أن يحبك الناس عندما تغادر منصبك كما يحبونك عندما تتسلمه .,['قيادة']
أفضل الانجازات التي يمكن تحقيقها هو ان نضفي عنصر المتعة و التشويق الى العمل .,"['طموح،', 'نجاح']"
كل ما نراه أو يبدو ما هو إلا حلم داخل حلم.,"['حلم', 'أحلام', 'تصور']"
الفرق بين إنسان وضيع و إنسـان رفيع ليس فرقاً في العقل وحده ، بل أكثر من ذلك الفرق في الذوق .,"['حوار،', 'تعامل']"
أعتقد أن هناك نوعًا واحدًا فقط من الأشخاص. يا قوم.,"['الأخوة', 'بين', 'الرجل']"
لن تضطر أبدًا إلى تغيير أي شيء تقوم به في منتصف الليل لتكتبه.,"['خيال', 'إلهام', 'كتابة']"
السعادة مفيدة للجسد، لكن الأسى هو ما ينمي قدرات العقل.,['عام']
حب البشر دون احترام يعني اعتبارهم حيوانات مفضلة ، و إطعامهم دون حب يعني معاملتهم كحيوانات حقيرة .,['أمثال']
لا تكن كقمة الجبل .. ترى الناس صغاراً و يراها الناس صغيرة .,"['نصائح،', 'اخلاق']"
إن قضاء سبع ساعات في التخطيط بأفكار و أهداف واضحة لهو أحسن و أفضل نتيجة من قضاء سبعة ايام دون توجيه أو هدف .,"['تنمية', 'الذات،', 'تحفيز']"
صديق الجميع ليس صديقي .,['صداقة']
انتهاك شرف البنـت يقيم الدنيا و لا يقـعدها في مجتمعنا ، لكن العدوان على شرف الأمة لم يعد يحرك ساكنا فيها .,['حرية']
قبل أن يتكلم الرجل الحكيم عليه إن يفكر تماماً فيما يقول ، و فيمن يستمـع إليه ، و أين و متى يتـكلم .,['حكمة']
ربما أعطاك فمنعك، و ربما منعك فأعطاك، و متى فتح لك باب الفهم في المنع صار المنع عين العطاء.,"['دروس،', 'اسلام']"
معظم الناس يموتون بسبب ما يأكلهم من أفكار سلبية .. هذه الافكار تسبب أكثر من %٧٥ من الامراض النفسية و العصبية .,['سعادة']
يقدر الإنسان نفسه حسب الاعمال التي يعتقد انه يستطيع إنجازها ولكن العالم يقدره حسب الاعمال التي ينجزها في الواقع .,"['تميز،', 'شجاعة']"
كي تؤمن على يقين ، إبدأ بالشك .,['أمثال']
شباب بلا أحلام .. ربيع بلا زهور .,['أمثال']
إذا لم تتبع ما تريد ، فلن تحصل عليه أبدًا. إذا لم تسأل ، فالجواب دائمًا لا. إذا لم تتقدم ، فأنت دائمًا في نفس المكان .,['ملهم']
